SURVEY_YEAR,FAM_TYPE,TOTEXPCQ,FINCBTXM,PERSLT18
2021,1,0.0,33564.0,0
2021,3,0.0,693758.2,2
2021,4,0.0,160479.6,2
2021,9,0.0,203948.4,1
2021,8,0.0,41000.0,0
2021,2,0.0,324006.8,3
2021,3,0.0,200000.0,2
2021,5,0.0,124522.0,0
2021,8,0.0,16782.0,0
2021,4,0.0,34694.4,0
2021,8,0.0,34390.8,0
2021,1,0.0,45499.6,0
2021,9,0.0,7112.0,0
2021,1,0.0,65983.2,0
2021,4,0.0,44647.2,1
2021,5,0.0,58800.0,0
2021,8,0.0,26830.0,0
2021,2,0.0,70000.0,2
2021,1,0.0,195200.0,0
2021,1,0.0,184213.6,0
2021,7,0.0,12000.0,1
2021,5,0.0,185419.8,2
2021,8,0.0,5555.4,0
2021,2,0.0,99214.0,1
2021,7,0.0,32200.0,2
2021,9,0.0,52500.0,1
2021,8,0.0,10789.0,0
2021,8,0.0,55785.6,0
2021,9,0.0,86213.6,0
2021,5,0.0,72734.4,0
2021,8,0.0,30769.0,0
2021,7,0.0,588.0,3
2021,4,0.0,85849.8,0
2021,1,0.0,93000.0,0
2021,1,0.0,20164.4,0
2021,3,0.0,121200.0,1
2021,8,0.0,29381.0,0
2021,2,0.0,340506.8,2
2021,6,0.0,36520.0,1
2021,8,0.0,32500.0,0
2021,5,0.0,53741.0,1
2021,1,0.0,88654.2,0
2021,9,0.0,4098.0,0
2021,6,0.0,71476.0,3
2021,8,0.0,14215.2,0
2021,4,0.0,120058.8,2
2021,9,0.0,96800.0,0
2021,5,0.0,81000.0,2
2021,7,0.0,39247.0,1
2021,9,0.0,48237.4,0
2021,1,0.0,37032.0,0
2021,3,0.0,43717.0,4
2021,1,0.0,80537.2,0
2021,1,0.0,43065.0,0
2021,4,0.0,247806.4,1
2021,1,0.0,3590.0,0
2021,1,0.0,109932.0,0
2021,3,0.0,77000.0,4
2021,8,0.0,19800.0,0
2021,7,0.0,36000.0,1
2021,3,0.0,94433.0,1
2021,1,0.0,39838.2,0
2021,9,0.0,27078.0,2
2021,1,0.0,31764.0,0
2021,1,0.0,22026.0,0
2021,3,0.0,164715.0,3
2021,5,0.0,45974.0,0
2021,1,0.0,57816.8,0
2021,9,0.0,111742.0,0
2021,7,0.0,14062.6,1
2021,3,0.0,344045.4,2
2021,1,0.0,86824.0,0
2021,9,0.0,84000.0,0
2021,9,0.0,47009.0,0
2021,2,0.0,95000.0,2
2021,8,0.0,78000.0,0
2021,7,0.0,20172.2,1
2021,8,0.0,19554.0,0
2021,9,0.0,97254.8,1
2021,8,0.0,93000.0,0
2021,3,0.0,100240.0,3
2021,8,0.0,40833.4,0
2021,1,0.0,103000.0,0
2021,9,0.0,1550.2,0
2021,1,0.0,106102.0,0
2021,8,0.0,12203.4,0
2021,8,0.0,44982.0,0
2021,9,0.0,26000.0,3
2021,8,0.0,73000.0,0
2021,9,0.0,116484.0,7
2021,1,0.0,270000.0,0
2021,1,0.0,80000.0,0
2021,8,0.0,122506.0,0
2021,5,0.0,114911.4,2
2021,8,0.0,45216.4,0
2021,9,0.0,82392.0,0
2021,1,0.0,32570.4,0
2021,1,0.0,132648.6,0
2021,1,0.0,26931.0,0
2021,8,0.0,8625.4,0
2021,1,0.0,62056.8,0
2021,8,0.0,24782.0,0
2021,9,0.0,100032.0,0
2021,1,0.0,128908.0,0
2021,1,0.0,178984.6,0
2021,8,0.0,24594.0,0
2021,4,0.0,132000.0,0
2021,1,0.0,91162.0,0
2021,1,0.0,17811.0,0
