applicant_ethnicity_observed,state_code,denial_reason_1,conforming_loan_limit,loan_type,tract_population,total_points_and_fees,co_applicant_age_above_62,co_applicant_age,applicant_ethnicity_3,prepayment_penalty_term,property_value,income,aus_3,balloon_payment,initially_payable_to_institution,tract_minority_population_percent,co_applicant_race_2,interest_only_payment,county_code,reverse_mortgage,co_applicant_race_4,other_nonamortizing_features,derived_loan_product_type,co_applicant_sex,submission_of_application,total_units,derived_msa_md,origination_charges,co_applicant_race_1,open_end_line_of_credit,applicant_race_3,derived_ethnicity,intro_rate_period,hoepa_status,lien_status,tract_owner_occupied_units,action_taken,applicant_ethnicity_2,applicant_race_4,co_applicant_ethnicity_2,applicant_sex_observed,denial_reason_4,derived_race,co_applicant_race_observed,aus_4,applicant_ethnicity_5,debt_to_income_ratio,lei,applicant_race_1,loan_purpose,applicant_credit_score_type,applicant_race_2,co_applicant_ethnicity_1,manufactured_home_secured_property_type,activity_year,occupancy_type,lender_credits,tract_to_msa_income_percentage,applicant_age,co_applicant_race_5,co_applicant_ethnicity_4,co_applicant_ethnicity_5,tract_one_to_four_family_homes,discount_points,total_loan_costs,denial_reason_3,applicant_ethnicity_1,interest_rate,aus_2,business_or_commercial_purpose,co_applicant_sex_observed,derived_dwelling_category,aus_5,construction_method,denial_reason_2,negative_amortization,applicant_age_above_62,combined_loan_to_value_ratio,applicant_race_5,derived_sex,co_applicant_ethnicity_3,co_applicant_ethnicity_observed,tract_median_age_of_housing_units,purchaser_type,rate_spread,applicant_race_observed,loan_term,preapproval,co_applicant_credit_score_type,manufactured_home_land_property_interest,aus_1,loan_amount,census_tract,applicant_sex,multifamily_affordable_units,applicant_ethnicity_4,ffiec_msa_md_median_family_income,co_applicant_race_3
3,GA,10,C,3,6925,,,8888,,,325000,,,2,3,28.51,,2,13223.0,2,,2,VA:First Lien,4,3,1,12060,0.0,7,2,,Ethnicity Not Available,,2,1,2106,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,4436.75,107.31,8888,,,,2472,,8437.37,,4.0,5.875,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,18,2,,3,360,2,9,5,6,335000,13223120111.0,4,,,102900,
3,FL,10,C,2,7685,,,8888,,,575000,,,2,3,57.29,,2,12011.0,2,,2,FHA:First Lien,4,3,1,22744,9823.78,7,2,,Ethnicity Not Available,,2,1,2199,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,4179.39,131.27,8888,,,,2626,,24846.09,,4.0,6.125,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,32,2,,3,360,2,9,5,6,565000,12011070304.0,4,,,88500,
3,TX,10,C,3,3783,,,8888,,,515000,,,2,3,33.49,,2,48281.0,2,,2,VA:First Lien,4,3,1,28660,13511.71,7,2,,Ethnicity Not Available,,2,1,1320,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,108.6,8888,,,,1706,11721.71,29263.71,,4.0,5.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,25,2,,3,360,2,9,5,6,525000,48281950303.0,4,,,76500,
3,NY,10,C,3,5959,,,8888,,,305000,,,2,3,15.66,,2,36001.0,2,,2,VA:First Lien,4,3,1,10580,6040.94,7,2,,Ethnicity Not Available,,2,1,1516,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,143.6,8888,,,,2219,5745.94,15699.09,,4.0,5.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,51,2,,3,360,2,9,5,6,305000,36001014201.0,4,,,113300,
3,WA,10,C,1,7046,,,8888,,,375000,,,2,3,58.94,,2,53021.0,2,,2,Conventional:First Lien,4,3,1,28420,1240.31,7,2,,Ethnicity Not Available,,2,1,1650,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,5.0,99.76,8888,,,,2151,445.31,3602.58,,4.0,6.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,42,1,,3,360,2,9,5,6,355000,53021020504.0,4,,,101700,
3,MO,10,C,1,3841,,,8888,,,225000,,,2,3,7.03,,2,29225.0,2,,2,Conventional:First Lien,4,3,1,44180,2925.0,7,2,,Ethnicity Not Available,,2,1,1015,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,500.0,74.04,8888,,,,1467,,4827.8,,4.0,6.25,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,32,3,,3,360,2,9,5,6,215000,29225470401.0,4,,,84800,
3,IA,10,C,3,6263,,,8888,,,295000,,,2,3,27.67,,2,19113.0,2,,2,VA:First Lien,4,3,1,16300,816.0,7,2,,Ethnicity Not Available,,2,1,2016,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,106.85,8888,,,,2294,,9326.45,,4.0,5.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,19,2,,3,360,2,9,5,6,305000,19113003005.0,4,,,96300,
3,LA,10,C,3,10313,,,8888,,,355000,,,2,3,26.63,,2,22015.0,2,,2,VA:First Lien,4,3,1,43340,0.0,7,2,,Ethnicity Not Available,,2,1,2314,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,186.91,8888,,,,2997,1316.04,11550.0,,4.0,5.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,13,2,,3,360,2,9,5,6,365000,22015011122.0,4,,,69500,
3,LA,10,C,3,10313,,,8888,,,285000,,,2,3,26.63,,2,22015.0,2,,2,VA:First Lien,4,3,1,43340,382.96,7,2,,Ethnicity Not Available,,2,1,2314,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,186.91,8888,,,,2997,382.96,9836.96,,4.0,6.125,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,13,2,,3,360,2,9,5,6,295000,22015011122.0,4,,,69500,
3,WA,10,C,1,3325,,,8888,,,435000,,,2,3,25.47,,2,53063.0,2,,2,Conventional:First Lien,4,3,1,44060,3745.0,7,2,,Ethnicity Not Available,,2,1,840,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,111.97,8888,,,,1088,,6130.5,,4.0,6.125,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,44,1,,3,360,2,9,5,6,295000,53063004701.0,4,,,91100,
